idx,seed,dataset,accuracy_fp32,accuracy_esp,key,espdl_size_bytes,torch_size_bytes
5121,888,cifar10,90.88,90.5,200,563520,2057177
5762,888,cifar10,67.82,39.47,200,191184,555570
5174,888,cifar10,86.25,86.12,200,166336,531096
5608,888,cifar10,87.58,69.17,200,442656,1638269
6039,888,cifar10,92.83,91.96,200,938336,3812870
5739,888,cifar10,86.39,71.7,200,235504,779069
5229,888,cifar10,91.71,91.35,200,757120,2934707
6095,888,cifar10,91.41,90.35,200,492160,1857195
5205,888,cifar10,85.16,81.74,200,460496,1628067
6444,888,cifar10,92.78,92.19,200,773248,3165243
5750,888,cifar10,91.13,10.75,200,786208,3164667
6432,888,cifar10,88.76,85.3,200,229168,784829
5859,888,cifar10,69.46,16.33,200,194784,580172
5136,888,cifar10,88.52,9.83,200,559744,2057113
6342,888,cifar10,86.93,77.85,200,562304,2081459
5794,888,cifar10,91.19,90.97,200,450880,1621347
6559,888,cifar10,10.0,10.0,200,209664,749769
6377,888,cifar10,86.69,10.0,200,598544,2287393
5773,888,cifar10,88.44,28.47,200,502080,1893663
4785,888,cifar10,89.39,10.08,200,589648,2287201
5629,888,cifar10,90.44,88.16,200,506176,1844843
6354,888,cifar10,87.65,11.94,200,487040,1911346
5870,888,cifar10,85.08,50.05,200,417168,1705860
6305,888,cifar10,93.36,92.48,200,714752,2928108
4695,888,cifar10,91.4,90.43,200,711232,2729477
6479,888,cifar10,91.32,23.87,200,528160,2074675
6108,888,cifar10,91.61,90.6,200,713792,2928108
6667,888,cifar10,83.76,82.94,200,168336,524440
5708,888,cifar10,92.67,92.56,200,785344,3164347
5961,888,cifar10,89.46,43.94,200,517600,2092870
5950,888,cifar10,78.86,10.0,200,416992,1632182
5596,888,cifar10,93.24,92.77,200,1017840,4248636
5251,888,cifar10,92.75,92.07,200,798656,3164283
6316,888,cifar10,92.2,91.77,200,537120,2056153
6149,888,cifar10,92.65,91.74,200,984608,4043278
6513,888,cifar10,79.96,23.02,200,445968,1620387
6170,888,cifar10,93.28,93.28,200,1002288,4001249
6502,888,cifar10,86.88,49.34,200,474304,1886616
5505,888,cifar10,93.38,93.17,200,988912,3994202
5164,888,cifar10,88.51,75.46,200,240880,784701
5551,888,cifar10,84.97,70.42,200,254208,1026648
6063,888,cifar10,93.19,93.17,200,974288,3794931
6635,888,cifar10,75.61,59.22,200,488736,1851307
6398,888,cifar10,92.06,91.02,200,564000,2298228
6215,888,cifar10,88.06,87.85,200,534304,2074675
5112,888,cifar10,91.71,55.02,200,700976,2680337
5939,888,cifar10,86.09,85.59,200,124080,513214
6029,888,cifar10,75.35,15.75,200,735696,2736197
6536,888,cifar10,90.96,91.0,200,471376,1844715
6074,888,cifar10,93.16,93.1,200,788784,3140897
