idx,seed,key,espdl_size_bytes,torch_size_bytes
280,888,200,230304,755363
280,999,200,230304,755363
282,777,200,706576,2720361
282,888,200,712944,2720361
282,999,200,714384,2720361
283,777,200,492096,2034665
283,888,200,494144,2034921
283,999,200,494832,2034793
284,777,200,221760,732579
284,888,200,221760,732643
284,999,200,221760,732771
285,777,200,556448,2041583
285,888,200,556448,2041519
285,999,200,556448,2041583
287,777,200,798656,3151605
287,888,200,798656,3151541
287,999,200,798656,3151605
288,777,200,689952,2714019
288,888,200,692000,2714083
288,999,200,690624,2714083
289,777,200,736112,2942121
289,888,200,731296,2942057
289,999,200,733328,2942185
290,777,200,500912,1859433
290,888,200,500912,1859497
290,999,200,500912,1859561
292,777,200,536880,2088943
292,888,200,536880,2088943
292,999,200,536880,2088879
293,777,200,1029984,4233653
293,888,200,1029984,4233653
293,999,200,1029984,4233781
294,777,200,466448,1640035
294,888,200,466448,1640099
294,999,200,466448,1640099
295,777,200,969552,3768303
295,888,200,968128,3768239
295,999,200,969536,3768303
296,777,200,269376,975977
296,888,200,265152,975593
296,999,200,268672,975721
297,777,200,156112,608852
297,888,200,155392,609108
297,999,200,156112,608916
298,777,200,282992,977001
298,888,200,282992,976873
298,999,200,284416,977001
299,777,200,959888,3784623
299,888,200,959888,3784687
299,999,200,960656,3784623
300,777,200,306960,983657
300,888,200,306960,983593
300,999,200,306960,983657
301,777,200,986400,4005231
301,888,200,987088,4005231
301,999,200,987088,4005231
302,777,200,239504,796771
302,888,200,240192,796515
302,999,200,238832,796771
303,777,200,315488,1204911
303,888,200,315488,1204975
303,999,200,315488,1204911
304,777,200,451104,1640419
304,888,200,453968,1640419
304,999,200,451104,1640227
305,777,200,178400,551834
305,888,200,177680,551834
305,999,200,177680,552090
306,777,200,459296,1639267
306,888,200,459296,1639267
306,999,200,459296,1639267
307,777,200,945712,3802217
307,888,200,946400,3802153
307,999,200,945024,3802409
309,777,200,269824,977449
309,888,200,268384,978141
309,999,200,268384,980339
310,777,200,591392,2295791
310,888,200,591392,2295919
310,999,200,591392,2296623
311,777,200,481936,1858827
311,888,200,481936,1858763
311,999,200,482656,1858955
313,777,200,179392,578032
313,888,200,180112,578096
313,999,200,180112,577968
314,777,200,760176,2906195
314,888,200,762304,2906387
314,999,200,759456,2905683
315,777,200,494368,1870929
315,888,200,492992,1871057
315,999,200,494368,1870353
316,777,200,553120,2313991
316,888,200,553120,2313287
316,999,200,553120,2313479
317,777,200,445984,1833133
317,888,200,445984,1833773
317,999,200,445984,1833453
318,777,200,750208,2928433
318,888,200,750896,2928241
318,999,200,752272,2928369
320,777,200,797104,3157679
320,888,200,797104,3156975
320,999,200,797104,3157871
321,777,200,275456,963669
321,888,200,274032,962965
321,999,200,273312,963285
322,777,200,731152,2904211
322,888,200,732528,2904595
322,999,200,731840,2904915
323,777,200,284080,992627
323,888,200,284080,993587
323,999,200,284080,993267
324,777,200,285216,1027567
324,888,200,285920,1027759
324,999,200,285216,1027887
325,777,200,724704,2706931
325,888,200,723328,2706995
325,999,200,722608,2706611
326,777,200,557424,2267083
326,888,200,557424,2266955
326,999,200,557424,2266315
327,777,200,274832,1199787
327,888,200,270480,1200363
327,999,200,271840,1199723
329,777,200,573584,2272209
329,888,200,573584,2272593
329,999,200,573600,2273297
330,777,200,475792,1881961
330,888,200,475072,1882281
330,999,200,475792,1882281
331,777,200,237984,751093
331,888,200,238000,751477
331,999,200,239408,751221
333,777,200,473248,1857035
333,888,200,474624,1857099
333,999,200,471888,1856779
334,777,200,258128,781651
334,888,200,258128,781331
334,999,200,258128,781715
335,777,200,535856,2068977
335,888,200,535152,2068913
335,999,200,535856,2069745
336,777,200,744912,2927985
336,888,200,744912,2927985
336,999,200,744912,2929073
337,777,200,459584,1809423
337,888,200,463744,1809487
337,999,200,463744,1809167
338,777,200,271152,956117
338,888,200,269728,956309
338,999,200,269728,955989
339,777,200,771824,2953167
339,888,200,771824,2952911
339,999,200,771824,2952591
341,777,200,249344,805297
341,888,200,249344,805233
341,999,200,249344,805169
342,777,200,229920,758965
342,888,200,229200,758965
342,999,200,229200,759157
343,777,200,250400,782611
343,888,200,247520,782419
343,999,200,251104,782867
344,777,200,960480,3773715
344,888,200,960480,3773587
344,999,200,960480,3773587
345,777,200,177184,546898
