idx,seed,dataset,acc,esp_acc
45,777,cifar10,89.84,89.05
1221,777,cifar10,61.22,18.55
1207,777,cifar10,91.98,34.02
238,888,cifar10,92.17,91.39
743,777,cifar10,82.63,79.19
586,888,cifar10,93.10,92.87
67,888,cifar10,93.36,93.25
609,888,cifar10,93.36,93.05
553,999,cifar10,87.33,41.80
733,777,cifar10,93.11,93.00
1277,999,cifar10,93.41,93.13
764,888,cifar10,75.85,18.83
147,888,cifar10,93.15,92.64
505,999,cifar10,89.78,23.08
401,999,cifar10,88.88,78.83
1356,999,cifar10,92.35,62.19
411,888,cifar10,92.96,92.89
32,999,cifar10,92.46,92.35
655,888,cifar10,94.03,93.91
229,999,cifar10,87.18,82.52
852,888,cifar10,93.20,93.16
1323,999,cifar10,10.00,10.00
447,999,cifar10,88.70,86.09
1297,777,cifar10,92.41,91.89
1335,999,cifar10,93.39,93.08
1173,888,cifar10,93.20,92.49
1367,999,cifar10,92.48,92.37
832,888,cifar10,50.31,14.58
808,888,cifar10,92.34,91.79
347,777,cifar10,89.30,41.33
1242,999,cifar10,75.06,27.54
777,888,cifar10,86.98,86.69
599,999,cifar10,86.88,63.45
957,888,cifar10,68.88,22.65
1000,999,cifar10,93.58,93.46
1149,888,cifar10,92.42,92.20
1379,999,cifar10,90.65,90.00
1231,777,cifar10,73.36,33.87
1402,999,cifar10,91.20,90.73
577,999,cifar10,93.01,92.92
325,999,cifar10,91.79,91.32
910,999,cifar10,93.13,92.86
114,777,cifar10,90.43,90.21
125,777,cifar10,89.89,87.77
890,999,cifar10,89.18,88.81
260,777,cifar10,85.59,82.72
1060,999,cifar10,90.28,88.69
990,999,cifar10,92.08,91.76
337,999,cifar10,88.41,87.76
358,777,cifar10,91.63,91.37
1195,888,cifar10,93.24,93.03
968,999,cifar10,89.04,38.88
1085,999,cifar10,75.03,15.53
645,999,cifar10,93.29,93.08
1023,999,cifar10,92.56,59.49
271,999,cifar10,85.44,63.20
1139,999,cifar10,93.27,92.99
206,888,cifar10,91.82,91.63
370,888,cifar10,92.49,92.39
879,777,cifar10,10.00,10.00
1106,999,cifar10,86.03,46.65
1074,999,cifar10,91.20,33.10
79,999,cifar10,91.84,60.90
101,999,cifar10,87.98,87.24
493,777,cifar10,90.04,89.21
517,999,cifar10,92.31,92.08
922,999,cifar10,84.44,16.51
458,999,cifar10,92.72,91.06
437,999,cifar10,75.55,60.36
709,888,cifar10,89.67,31.83
530,777,cifar10,73.90,31.05
136,999,cifar10,92.18,91.86
250,999,cifar10,93.57,93.64
1287,999,cifar10,93.00,92.76
314,777,cifar10,91.92,58.92
170,999,cifar10,88.49,87.57
57,999,cifar10,76.11,64.57
21,999,cifar10,92.37,92.06
1221,888,cifar10,62.86,10.00
1412,777,cifar10,85.06,75.75
196,777,cifar10,86.22,85.95
799,777,cifar10,83.14,27.22
89,777,cifar10,92.15,91.87
45,888,cifar10,89.24,88.67
820,999,cifar10,90.49,85.65
699,888,cifar10,94.08,94.11
621,777,cifar10,91.52,90.28
865,777,cifar10,89.97,85.04
1047,999,cifar10,89.75,89.20
239,999,cifar10,54.64,13.21
1428,999,cifar10,92.98,92.87
1185,777,cifar10,90.83,10.33
900,777,cifar10,87.72,10.01
