idx,seed,dataset,acc,esp_acc
10263,777,cifar10,91.73,90.95
10709,999,cifar10,92.37,92.33
10537,999,cifar10,87.46,25.57
9762,888,cifar10,90.71,90.44
11019,777,cifar10,93.23,93.03
10309,777,cifar10,87.75,10.00
11229,777,cifar10,87.22,14.53
11088,777,cifar10,91.85,91.71
10905,777,cifar10,90.21,86.02
10149,777,cifar10,88.90,27.84
9894,888,cifar10,10.00,10.00
10924,888,cifar10,92.71,92.01
10968,777,cifar10,89.73,62.44
10092,777,cifar10,91.93,91.96
10330,888,cifar10,74.22,30.25
10635,777,cifar10,92.63,92.56
10658,999,cifar10,93.54,93.17
10320,888,cifar10,79.97,20.78
10474,888,cifar10,92.02,91.00
10738,888,cifar10,76.91,70.02
10158,777,cifar10,88.40,86.33
11065,777,cifar10,92.66,92.67
10363,999,cifar10,90.19,89.78
10872,777,cifar10,93.72,93.28
10979,888,cifar10,91.24,74.70
11239,777,cifar10,93.44,92.72
11208,888,cifar10,89.57,88.04
10190,888,cifar10,88.41,81.73
10465,777,cifar10,86.62,48.63
10944,888,cifar10,88.27,84.74
10914,888,cifar10,92.48,92.48
10690,777,cifar10,90.64,89.20
10204,777,cifar10,75.84,66.95
11039,888,cifar10,91.41,90.68
10067,999,cifar10,90.56,90.56
11275,777,cifar10,90.55,90.22
10600,888,cifar10,90.21,33.88
11185,777,cifar10,89.27,10.03
10615,999,cifar10,91.90,91.68
10236,777,cifar10,86.03,80.57
11264,777,cifar10,90.08,89.65
10045,888,cifar10,92.19,91.91
10828,777,cifar10,91.85,91.62
11289,777,cifar10,90.97,90.79
10893,888,cifar10,88.96,88.24
10103,888,cifar10,90.94,90.62
9752,888,cifar10,91.90,13.32
10342,888,cifar10,90.86,90.64
10993,777,cifar10,87.72,86.23
10570,999,cifar10,85.94,25.52
11055,777,cifar10,86.67,71.29
11028,888,cifar10,86.83,56.96
11252,777,cifar10,84.94,81.05
10409,888,cifar10,92.09,91.35
10817,888,cifar10,78.44,27.30
10508,888,cifar10,10.00,10.00
10249,777,cifar10,91.79,88.78
10182,777,cifar10,66.10,10.00
10795,888,cifar10,89.49,82.18
10227,777,cifar10,87.89,84.81
11305,777,cifar10,10.00,10.00
9786,888,cifar10,88.60,75.90
9972,888,cifar10,93.85,93.36
11100,777,cifar10,89.95,87.29
10701,777,cifar10,87.60,82.63
10783,999,cifar10,91.29,90.76
9773,777,cifar10,86.85,38.75
10580,888,cifar10,90.79,17.38
10284,999,cifar10,10.00,10.00
11125,888,cifar10,78.05,22.27
11138,888,cifar10,76.98,11.59
10295,777,cifar10,91.96,49.49
11174,777,cifar10,93.84,93.70
10125,888,cifar10,91.62,91.05
11113,888,cifar10,88.72,87.45
9916,888,cifar10,93.71,93.59
10851,777,cifar10,92.11,91.93
11151,777,cifar10,85.08,22.66
9882,888,cifar10,84.35,71.73
10548,999,cifar10,92.50,12.52
10934,888,cifar10,90.02,85.84
11164,777,cifar10,91.80,91.82
10168,888,cifar10,93.13,92.70
11078,999,cifar10,89.25,86.02
10592,777,cifar10,87.83,80.78
9937,888,cifar10,92.75,92.63
10398,888,cifar10,86.45,82.64
10082,999,cifar10,91.85,91.48
10749,888,cifar10,93.35,93.39
10517,999,cifar10,91.29,90.76
10453,777,cifar10,87.33,66.51
10529,888,cifar10,92.30,92.30
10274,888,cifar10,91.82,90.85
10738,999,cifar10,76.76,72.00
10430,888,cifar10,90.66,89.81
10013,999,cifar10,89.85,82.94
10497,888,cifar10,89.82,86.33
10538,777,cifar10,89.23,88.68
10680,777,cifar10,86.97,83.29
11316,777,cifar10,87.29,63.03
10806,888,cifar10,89.77,85.01
10773,777,cifar10,89.96,66.76
10054,888,cifar10,92.94,92.67
10092,888,cifar10,91.66,91.53
9905,888,cifar10,91.85,91.67
10649,777,cifar10,92.72,92.57
10626,777,cifar10,10.00,10.00
10387,888,cifar10,81.15,22.49
11006,777,cifar10,92.38,92.31
10725,888,cifar10,91.76,15.91
10762,777,cifar10,10.00,10.00
10443,777,cifar10,92.23,92.10
10561,888,cifar10,85.50,40.64
10955,888,cifar10,90.87,88.89
10883,888,cifar10,89.58,88.03
11219,888,cifar10,91.82,91.89
10915,777,cifar10,79.09,37.17
10215,777,cifar10,92.91,92.49
10114,777,cifar10,92.48,92.32
10710,777,cifar10,91.78,91.63
11209,777,cifar10,89.59,89.12
10309,888,cifar10,88.22,12.86
11328,777,cifar10,89.25,85.65
10601,777,cifar10,75.63,57.99
10000,777,cifar10,94.37,94.21
10418,777,cifar10,91.71,88.50
10838,888,cifar10,93.60,93.55
10485,888,cifar10,85.70,20.19
9763,999,cifar10,89.67,75.78
11195,888,cifar10,93.14,93.01
10993,888,cifar10,87.51,86.09
9927,777,cifar10,93.35,93.33
10659,777,cifar10,10.00,10.00
10158,888,cifar10,88.99,86.68
11019,888,cifar10,92.90,92.56
10968,888,cifar10,89.89,57.13
11229,888,cifar10,86.47,46.89
10353,888,cifar10,92.32,90.56
11088,888,cifar10,92.21,92.18
10067,777,cifar10,90.69,90.26
10571,777,cifar10,58.30,10.00
9986,888,cifar10,92.59,92.40
10893,999,cifar10,88.97,88.32
10828,888,cifar10,91.75,91.54
10475,777,cifar10,90.23,87.38
10376,777,cifar10,85.72,13.52
10635,888,cifar10,92.64,92.32
10236,888,cifar10,86.16,74.41
10670,777,cifar10,92.50,92.46
10263,888,cifar10,91.94,90.87
10364,777,cifar10,83.95,78.01
10945,777,cifar10,76.81,33.58
11275,888,cifar10,90.20,89.82
10149,888,cifar10,88.67,27.45
10138,777,cifar10,93.20,92.82
10980,777,cifar10,89.66,81.89
10227,888,cifar10,87.30,85.80
10508,999,cifar10,10.00,10.00
10465,888,cifar10,86.56,19.08
11065,888,cifar10,93.10,92.80
10905,888,cifar10,91.40,88.18
10182,888,cifar10,66.38,17.69
10818,777,cifar10,92.14,91.94
11113,999,cifar10,88.77,88.21
11185,888,cifar10,89.14,10.57
10331,777,cifar10,92.24,91.98
11305,888,cifar10,10.00,10.00
11289,888,cifar10,90.91,91.01
11264,888,cifar10,90.11,89.25
11239,888,cifar10,93.15,92.74
10204,888,cifar10,75.67,61.37
10861,888,cifar10,93.56,93.28
10530,777,cifar10,80.34,41.76
10690,888,cifar10,90.48,88.71
11340,777,cifar10,91.92,90.44
10872,888,cifar10,93.80,93.58
11138,999,cifar10,76.85,10.00
10701,888,cifar10,88.05,86.43
10549,777,cifar10,89.08,88.84
10410,777,cifar10,89.04,88.31
10192,777,cifar10,93.64,93.25
11382,777,cifar10,86.56,86.03
10285,777,cifar10,90.42,90.10
11028,999,cifar10,86.26,62.30
10796,777,cifar10,87.34,38.31
9973,777,cifar10,92.20,38.74
10581,777,cifar10,89.21,88.58
10431,777,cifar10,86.57,86.46
9753,999,cifar10,92.89,92.64
10126,777,cifar10,92.37,92.13
10616,777,cifar10,92.44,92.57
10082,777,cifar10,92.07,92.09
10924,999,cifar10,92.63,92.00
10592,888,cifar10,87.76,83.89
11040,777,cifar10,88.76,86.14
11164,888,cifar10,91.90,91.83
11252,888,cifar10,84.49,80.60
11350,777,cifar10,92.31,91.58
11100,888,cifar10,89.95,88.86
11055,888,cifar10,86.06,67.91
10740,777,cifar10,76.10,68.69
10538,888,cifar10,88.98,88.75
10321,777,cifar10,93.26,93.03
11126,777,cifar10,88.37,79.77
10915,888,cifar10,79.34,41.64
10601,888,cifar10,74.98,58.81
11371,777,cifar10,89.03,30.37
11079,777,cifar10,93.24,93.46
10453,888,cifar10,87.54,74.82
10993,999,cifar10,87.61,86.41
10784,777,cifar10,89.31,87.63
9938,777,cifar10,80.43,70.42
10343,777,cifar10,91.19,90.91
10275,777,cifar10,90.74,90.57
10956,777,cifar10,78.97,32.44
10851,888,cifar10,92.33,91.95
11209,888,cifar10,89.53,89.38
11316,888,cifar10,87.26,65.85
10169,777,cifar10,88.46,87.70
11361,777,cifar10,91.35,90.13
10013,777,cifar10,90.51,81.48
10773,888,cifar10,89.61,67.95
10934,999,cifar10,90.11,84.57
11403,777,cifar10,75.43,60.50
9773,888,cifar10,86.84,40.76
11151,888,cifar10,85.08,26.05
11174,888,cifar10,93.70,93.66
10498,777,cifar10,89.93,89.55
10680,888,cifar10,86.50,80.30
10626,888,cifar10,10.00,10.00
10249,888,cifar10,91.50,88.48
10750,777,cifar10,93.84,93.70
10571,888,cifar10,56.33,10.00
10762,888,cifar10,10.00,10.00
11328,888,cifar10,88.64,82.04
10518,777,cifar10,92.18,92.11
10727,777,cifar10,90.90,90.66
10443,888,cifar10,92.01,91.89
10295,888,cifar10,92.10,68.80
11196,777,cifar10,88.79,85.76
10530,888,cifar10,80.85,22.02
10399,777,cifar10,82.96,69.44
10659,888,cifar10,10.00,10.00
10710,888,cifar10,91.53,91.30
11020,777,cifar10,88.40,86.48
10884,777,cifar10,92.15,92.01
11006,888,cifar10,92.17,92.20
10067,888,cifar10,90.99,91.05
10055,777,cifar10,87.45,38.75
10215,888,cifar10,92.51,92.18
11230,777,cifar10,91.85,91.51
10114,888,cifar10,92.46,92.05
10807,777,cifar10,87.49,10.00
11029,777,cifar10,68.27,11.51
10649,888,cifar10,92.30,92.17
11220,777,cifar10,88.61,9.33
9763,777,cifar10,90.14,76.70
10562,777,cifar10,91.80,91.82
11392,777,cifar10,92.22,91.80
9927,888,cifar10,93.08,92.68
10945,888,cifar10,80.51,10.00
10475,888,cifar10,90.04,88.04
10969,777,cifar10,88.48,12.64
11066,777,cifar10,10.00,10.00
11305,999,cifar10,10.00,10.00
10160,777,cifar10,68.35,36.55
10818,888,cifar10,91.99,91.52
10364,888,cifar10,84.06,76.91
11277,777,cifar10,87.97,87.35
10388,777,cifar10,92.18,92.18
10431,888,cifar10,86.98,86.52
10549,888,cifar10,88.36,88.34
11265,777,cifar10,90.01,89.41
11382,888,cifar10,86.67,86.21
10228,777,cifar10,92.00,91.99
10636,777,cifar10,93.58,93.44
10980,888,cifar10,89.85,84.04
10353,999,cifar10,92.39,91.10
10486,777,cifar10,93.23,93.15
10894,777,cifar10,82.70,63.19
10418,888,cifar10,91.39,87.32
10000,888,cifar10,93.89,93.97
10082,888,cifar10,91.94,91.99
10601,999,cifar10,74.99,59.97
10701,999,cifar10,87.65,79.49
10376,888,cifar10,84.81,24.31
10285,888,cifar10,90.07,90.01
10839,777,cifar10,91.54,91.32
10264,777,cifar10,85.09,80.97
10509,777,cifar10,88.34,59.76
10915,999,cifar10,79.44,44.71
11414,777,cifar10,92.40,92.39
10829,777,cifar10,92.51,92.46
10592,999,cifar10,87.61,76.89
11090,777,cifar10,90.39,84.35
11114,777,cifar10,92.23,91.86
10205,777,cifar10,88.59,30.45
11242,777,cifar10,91.07,90.13
10238,777,cifar10,86.98,83.12
10670,888,cifar10,92.49,92.03
10410,888,cifar10,89.18,87.90
11340,888,cifar10,91.74,90.57
10581,888,cifar10,88.82,88.50
9973,888,cifar10,91.72,21.35
10126,888,cifar10,92.32,92.35
10796,888,cifar10,87.17,58.50
10740,888,cifar10,75.38,62.65
10691,777,cifar10,92.05,91.01
10538,999,cifar10,88.31,87.51
10310,777,cifar10,93.16,60.55
11164,999,cifar10,91.74,91.63
10138,888,cifar10,92.91,92.50
11426,777,cifar10,88.69,87.88
10956,888,cifar10,78.28,10.16
10331,888,cifar10,92.04,91.67
10994,777,cifar10,69.00,22.22
11186,777,cifar10,89.08,5.85
10466,777,cifar10,91.35,90.85
10530,999,cifar10,80.10,28.84
10571,999,cifar10,58.61,10.46
10906,777,cifar10,91.86,91.64
11290,777,cifar10,93.21,92.51
9753,777,cifar10,92.63,92.34
11439,777,cifar10,92.89,92.19
10192,888,cifar10,93.53,93.37
11253,777,cifar10,93.11,92.36
10453,999,cifar10,87.24,79.09
11029,888,cifar10,68.33,15.53
11079,888,cifar10,93.17,92.96
10852,777,cifar10,86.43,81.85
10275,888,cifar10,91.05,90.72
10616,888,cifar10,92.77,90.81
11316,999,cifar10,87.18,51.55
11371,888,cifar10,88.87,27.22
11140,777,cifar10,91.77,91.22
11403,888,cifar10,76.31,63.46
10925,777,cifar10,90.52,34.06
9938,888,cifar10,80.46,72.07
10013,888,cifar10,90.13,82.58
11126,888,cifar10,88.89,81.54
11328,999,cifar10,89.27,87.17
10444,777,cifar10,90.13,89.75
10874,777,cifar10,91.63,91.18
10862,777,cifar10,91.82,91.42
11056,777,cifar10,92.79,63.03
10626,999,cifar10,10.00,10.00
11350,888,cifar10,92.08,91.24
11210,777,cifar10,79.39,38.46
10762,999,cifar10,10.00,10.00
10498,888,cifar10,89.79,89.47
11196,888,cifar10,89.13,84.91
10784,888,cifar10,88.94,86.70
11040,888,cifar10,88.36,85.35
10727,888,cifar10,91.05,90.86
10169,888,cifar10,88.25,87.48
11020,888,cifar10,88.74,85.07
10774,777,cifar10,92.27,91.81
10659,999,cifar10,10.00,10.00
11101,777,cifar10,91.98,14.67
10935,777,cifar10,93.74,93.66
11007,777,cifar10,92.30,92.39
10750,888,cifar10,93.64,93.49
11230,888,cifar10,91.78,91.70
10650,777,cifar10,91.92,91.80
9774,777,cifar10,91.41,90.08
11463,777,cifar10,90.86,88.62
10681,777,cifar10,89.77,87.48
10518,888,cifar10,92.48,92.32
11361,888,cifar10,90.98,89.38
10296,777,cifar10,87.15,66.09
10216,777,cifar10,91.42,88.40
11153,777,cifar10,92.24,50.77
10250,777,cifar10,91.66,90.84
10343,888,cifar10,91.56,90.60
10884,888,cifar10,92.18,92.06
10818,999,cifar10,91.77,91.57
11066,888,cifar10,10.00,10.00
10549,999,cifar10,88.56,87.92
11382,999,cifar10,86.20,85.73
11495,777,cifar10,86.57,86.46
11306,777,cifar10,10.00,10.00
10945,999,cifar10,77.39,10.01
9763,888,cifar10,89.77,73.83
10433,777,cifar10,86.84,14.37
10419,777,cifar10,86.25,46.25
10321,888,cifar10,93.21,92.79
10711,777,cifar10,91.68,91.25
11175,777,cifar10,92.12,91.75
10055,888,cifar10,86.82,27.02
11265,888,cifar10,90.17,89.32
10475,999,cifar10,89.66,87.65
10981,777,cifar10,88.89,84.96
11220,888,cifar10,88.13,13.31
10399,888,cifar10,84.19,67.82
10562,888,cifar10,91.82,91.96
10969,888,cifar10,87.52,10.13
11451,777,cifar10,91.12,90.58
11029,999,cifar10,67.80,15.96
10807,888,cifar10,87.99,17.54
11277,888,cifar10,88.34,87.59
10228,888,cifar10,91.89,91.60
10160,888,cifar10,68.17,33.90
10702,777,cifar10,88.46,87.70
10956,999,cifar10,78.26,15.81
10354,777,cifar10,88.16,85.36
11484,777,cifar10,91.38,90.09
11505,777,cifar10,91.99,91.73
11392,888,cifar10,92.17,91.75
10602,777,cifar10,75.84,66.95
10126,999,cifar10,92.59,92.43
10994,888,cifar10,70.20,17.65
10636,888,cifar10,93.34,93.07
10286,777,cifar10,88.32,85.60
10582,777,cifar10,86.62,86.51
10377,777,cifar10,91.17,89.29
11474,777,cifar10,89.27,87.40
10509,888,cifar10,88.07,76.12
11114,888,cifar10,91.96,91.45
10205,888,cifar10,88.83,36.52
11242,888,cifar10,90.93,88.95
10916,777,cifar10,92.51,92.26
10894,888,cifar10,83.29,67.19
11340,999,cifar10,91.59,90.57
11517,777,cifar10,90.32,88.56
10797,777,cifar10,86.60,86.30
11165,777,cifar10,91.06,89.12
10332,777,cifar10,91.85,91.62
10264,888,cifar10,84.68,73.95
10742,777,cifar10,91.69,90.86
10486,888,cifar10,93.18,92.98
10671,777,cifar10,90.51,86.21
10691,888,cifar10,91.93,90.73
11414,888,cifar10,92.62,92.29
10365,777,cifar10,90.89,90.04
10444,888,cifar10,90.39,89.04
10829,888,cifar10,92.66,92.40
11044,777,cifar10,89.57,89.26
10388,888,cifar10,92.07,91.70
10852,888,cifar10,86.78,81.03
11403,999,cifar10,76.34,59.21
11090,888,cifar10,89.86,83.32
10539,777,cifar10,89.92,87.85
10238,888,cifar10,88.46,84.40
10411,777,cifar10,92.79,92.55
11231,777,cifar10,86.57,86.46
10839,888,cifar10,91.06,90.75
10193,777,cifar10,91.14,87.87
11253,888,cifar10,92.94,92.57
11080,777,cifar10,92.74,92.44
11021,777,cifar10,89.12,88.96
10593,777,cifar10,93.25,92.85
11196,999,cifar10,88.89,85.09
9753,888,cifar10,92.71,92.61
11318,777,cifar10,92.97,92.83
11186,888,cifar10,88.69,10.00
11426,888,cifar10,88.53,88.01
10454,777,cifar10,91.87,90.89
10531,777,cifar10,91.58,91.12
11539,777,cifar10,85.69,76.97
10763,777,cifar10,86.99,75.32
10466,888,cifar10,91.14,90.67
10650,888,cifar10,92.28,92.06
11529,777,cifar10,89.02,16.17
10627,777,cifar10,90.84,90.12
11551,777,cifar10,76.10,68.69
11495,888,cifar10,86.36,85.88
11463,888,cifar10,90.82,89.82
11127,777,cifar10,89.92,21.80
11007,888,cifar10,91.89,91.87
11210,888,cifar10,79.73,17.06
10276,777,cifar10,91.55,89.96
10925,888,cifar10,90.98,29.65
10170,777,cifar10,91.20,90.40
11290,888,cifar10,93.49,92.49
10906,888,cifar10,92.03,91.30
11329,777,cifar10,91.40,18.18
11351,777,cifar10,93.55,93.43
10617,777,cifar10,91.79,91.38
10419,888,cifar10,85.84,58.71
11066,999,cifar10,10.00,10.00
10322,777,cifar10,56.48,10.00
11439,888,cifar10,92.89,92.17
11056,888,cifar10,92.60,76.25
10499,777,cifar10,91.31,90.87
10433,888,cifar10,86.53,26.73
11362,777,cifar10,92.13,91.64
10216,888,cifar10,91.31,88.74
10310,888,cifar10,93.22,47.92
10572,777,cifar10,92.91,91.97
11383,777,cifar10,91.99,53.32
11140,888,cifar10,91.60,91.21
10774,888,cifar10,92.22,91.84
10786,777,cifar10,91.60,91.44
11306,888,cifar10,10.00,10.00
10729,777,cifar10,91.91,91.86
10935,888,cifar10,93.63,93.48
10296,888,cifar10,86.25,61.12
11372,777,cifar10,93.80,93.67
9774,888,cifar10,91.27,89.45
11265,999,cifar10,89.82,89.14
11030,777,cifar10,89.92,89.31
10344,777,cifar10,89.49,87.81
11562,777,cifar10,88.54,88.20
10681,888,cifar10,89.87,88.50
10518,999,cifar10,92.16,92.09
10981,888,cifar10,89.31,85.07
10874,888,cifar10,91.69,90.99
10660,777,cifar10,91.10,90.50
10819,777,cifar10,84.78,81.50
11505,888,cifar10,92.03,91.87
10752,777,cifar10,93.09,92.63
10830,777,cifar10,62.40,11.76
9764,999,cifar10,90.15,88.13
10862,888,cifar10,91.69,90.96
10250,888,cifar10,91.15,90.61
10885,777,cifar10,91.85,21.52
10550,777,cifar10,90.18,86.94
11101,888,cifar10,91.75,14.30
11153,888,cifar10,92.14,27.53
11278,777,cifar10,89.55,26.06
11394,777,cifar10,83.37,11.12
10702,888,cifar10,88.02,87.27
10711,888,cifar10,91.21,90.77
11484,888,cifar10,90.94,89.37
11243,777,cifar10,82.87,76.18
11044,888,cifar10,89.46,88.88
10808,777,cifar10,90.03,83.04
10354,888,cifar10,87.83,83.99
10602,888,cifar10,75.79,63.98
11221,777,cifar10,92.29,26.04
10582,888,cifar10,86.22,85.88
10693,777,cifar10,68.15,43.99
11231,888,cifar10,86.28,85.60
11517,888,cifar10,89.91,86.47
10946,777,cifar10,92.30,18.85
10286,888,cifar10,88.36,84.99
11586,777,cifar10,87.35,24.21
10332,888,cifar10,91.97,91.76
11175,888,cifar10,91.22,90.54
10487,777,cifar10,90.10,89.31
11451,888,cifar10,90.72,90.06
10377,888,cifar10,91.03,89.36
10895,777,cifar10,90.27,88.88
11551,888,cifar10,75.83,59.16
11165,888,cifar10,90.77,88.84
11114,999,cifar10,91.79,91.52
11574,777,cifar10,91.87,38.78
11092,777,cifar10,89.57,88.76
10797,888,cifar10,86.48,86.22
10476,777,cifar10,93.75,93.64
10970,777,cifar10,93.25,93.22
11415,777,cifar10,92.87,92.74
10916,888,cifar10,92.56,92.50
10853,777,cifar10,87.25,82.80
10742,888,cifar10,92.04,89.74
11021,888,cifar10,88.78,88.38
10563,777,cifar10,92.68,91.92
10445,777,cifar10,90.84,57.08
11607,777,cifar10,86.96,59.41
11597,777,cifar10,92.19,92.06
10840,777,cifar10,91.51,91.03
10400,777,cifar10,93.45,93.56
10193,888,cifar10,90.84,88.40
10650,999,cifar10,91.62,91.56
11428,777,cifar10,89.97,89.03
10957,777,cifar10,92.87,92.73
10671,888,cifar10,90.68,81.65
11200,777,cifar10,84.28,80.35
11474,888,cifar10,88.46,85.19
11404,777,cifar10,86.37,49.60
10206,777,cifar10,92.90,92.78
10510,777,cifar10,92.45,91.90
10419,999,cifar10,86.75,57.52
11080,888,cifar10,92.72,92.70
11463,999,cifar10,91.10,89.31
11341,777,cifar10,91.72,90.69
10389,777,cifar10,92.40,92.22
10995,777,cifar10,92.94,87.01
10322,888,cifar10,55.56,10.04
11007,999,cifar10,91.78,91.88
10830,888,cifar10,62.12,14.92
10763,888,cifar10,86.61,79.17
10539,888,cifar10,90.27,86.13
10434,777,cifar10,89.46,89.07
11318,888,cifar10,93.19,93.05
11496,777,cifar10,87.37,10.17
10239,777,cifar10,92.77,92.58
10411,888,cifar10,92.91,92.64
10627,888,cifar10,90.87,90.07
11539,888,cifar10,86.02,77.46
11292,777,cifar10,86.48,35.30
10170,888,cifar10,91.10,89.47
10637,777,cifar10,93.65,93.67
11383,888,cifar10,91.79,68.97
11030,888,cifar10,89.53,89.28
11266,777,cifar10,88.38,82.16
11562,888,cifar10,88.98,88.88
11529,888,cifar10,88.78,12.88
11306,999,cifar10,10.00,10.00
11187,777,cifar10,89.51,88.09
10454,888,cifar10,91.22,90.15
11068,777,cifar10,79.20,24.94
11127,888,cifar10,89.31,32.79
11362,888,cifar10,92.15,91.61
10365,888,cifar10,91.45,90.54
10216,999,cifar10,91.02,89.10
10467,777,cifar10,69.75,10.00
9775,777,cifar10,88.32,86.53
11505,999,cifar10,92.18,92.00
10925,999,cifar10,91.18,16.68
11211,777,cifar10,90.15,84.94
10981,999,cifar10,88.94,86.15
11044,999,cifar10,89.54,89.46
11351,888,cifar10,93.68,93.38
10531,888,cifar10,91.46,91.33
10276,888,cifar10,91.11,89.58
10252,777,cifar10,84.28,65.35
11329,888,cifar10,91.83,43.14
10875,777,cifar10,79.75,65.20
10593,888,cifar10,92.57,92.47
10774,999,cifar10,91.85,91.44
10499,888,cifar10,91.31,90.97
11057,777,cifar10,89.61,81.80
10344,888,cifar10,89.14,80.37
11243,888,cifar10,82.84,77.90
11440,777,cifar10,92.78,92.25
10786,888,cifar10,91.98,89.97
11254,777,cifar10,93.26,93.10
10693,888,cifar10,67.28,39.06
10906,999,cifar10,91.89,91.67
10935,999,cifar10,93.91,93.76
10617,888,cifar10,92.39,91.69
11394,888,cifar10,83.28,14.97
10682,777,cifar10,88.68,85.29
10729,888,cifar10,91.97,91.87
11278,888,cifar10,89.06,36.93
10298,777,cifar10,90.46,89.36
10519,777,cifar10,86.00,44.22
11141,777,cifar10,86.25,47.64
10716,777,cifar10,81.09,10.02
11484,999,cifar10,91.18,89.08
11166,777,cifar10,54.58,10.00
10819,888,cifar10,84.54,81.23
9764,777,cifar10,90.52,88.92
10311,777,cifar10,91.33,91.02
11154,777,cifar10,86.46,84.40
11552,777,cifar10,87.16,77.53
10672,777,cifar10,84.20,83.37
10572,888,cifar10,92.78,92.26
10885,888,cifar10,92.10,20.37
10752,888,cifar10,93.23,93.06
10334,777,cifar10,92.52,92.40
10743,777,cifar10,80.65,52.81
11092,888,cifar10,89.15,88.58
10550,888,cifar10,90.55,88.62
11452,777,cifar10,80.55,64.02
10808,888,cifar10,89.60,62.73
10487,888,cifar10,90.38,89.00
11372,888,cifar10,93.60,93.24
10660,888,cifar10,91.62,90.76
10703,777,cifar10,93.43,93.07
11518,777,cifar10,88.64,88.21
11177,777,cifar10,88.70,88.12
11103,777,cifar10,92.47,91.21
10863,777,cifar10,88.85,88.12
10895,888,cifar10,89.95,86.63
10853,888,cifar10,86.73,82.18
10287,777,cifar10,92.05,91.13
11586,888,cifar10,87.71,53.92
11221,888,cifar10,92.10,30.37
11607,888,cifar10,87.74,56.68
11232,777,cifar10,93.63,93.58
11415,888,cifar10,92.20,92.13
10603,777,cifar10,93.60,93.32
10355,777,cifar10,91.99,91.76
10322,999,cifar10,55.53,12.06
11428,888,cifar10,88.86,87.58
10434,888,cifar10,88.70,88.25
10798,777,cifar10,88.98,88.58
10840,888,cifar10,90.58,90.37
11200,888,cifar10,84.94,82.38
10445,888,cifar10,90.92,69.02
11475,777,cifar10,89.52,89.27
10583,777,cifar10,91.22,90.45
11574,888,cifar10,91.64,13.08
10379,777,cifar10,90.88,89.91
11562,999,cifar10,88.77,88.41
11030,999,cifar10,89.83,90.00
11266,888,cifar10,87.88,79.42
10946,888,cifar10,92.44,12.73
11597,888,cifar10,91.91,91.90
11129,777,cifar10,87.83,72.78
11022,777,cifar10,93.21,93.14
11008,777,cifar10,88.64,71.53
11620,777,cifar10,90.53,89.27
10970,888,cifar10,93.29,92.88
11496,888,cifar10,86.61,10.00
11464,777,cifar10,86.60,86.30
11116,777,cifar10,92.27,91.20
11404,888,cifar10,85.52,38.55
10917,777,cifar10,88.64,85.25
11292,888,cifar10,86.65,35.01
10412,777,cifar10,93.44,93.31
10476,888,cifar10,93.83,93.53
10170,999,cifar10,91.07,89.82
11318,999,cifar10,92.72,92.56
10366,777,cifar10,89.36,88.86
10831,777,cifar10,90.89,91.24
10252,888,cifar10,83.99,75.36
11068,888,cifar10,79.00,24.48
11045,777,cifar10,92.70,92.30
10539,999,cifar10,90.32,85.73
11362,999,cifar10,92.03,91.92
11081,777,cifar10,90.15,82.11
10420,777,cifar10,88.53,10.05
9775,888,cifar10,88.30,83.93
10389,888,cifar10,92.60,92.55
10628,777,cifar10,92.58,92.00
10693,999,cifar10,68.01,39.85
10651,777,cifar10,87.72,43.58
10217,777,cifar10,93.55,93.43
10206,888,cifar10,92.40,92.16
10764,777,cifar10,91.83,89.85
11540,777,cifar10,89.16,64.21
10875,888,cifar10,79.60,65.31
10775,777,cifar10,87.33,66.51
10456,777,cifar10,89.13,15.78
10672,888,cifar10,83.88,83.47
11166,888,cifar10,56.39,10.19
10730,777,cifar10,88.09,86.94
10239,888,cifar10,92.94,93.06
10563,888,cifar10,92.41,90.93
10510,888,cifar10,92.43,91.84
11341,888,cifar10,91.36,90.34
11530,777,cifar10,93.33,85.42
10787,777,cifar10,86.95,86.70
10957,888,cifar10,93.30,92.12
11187,888,cifar10,89.51,88.67
11633,777,cifar10,91.92,91.63
10400,888,cifar10,93.53,93.42
11384,777,cifar10,92.75,92.19
10995,888,cifar10,92.82,84.99
11307,777,cifar10,93.98,93.81
10907,777,cifar10,88.59,16.28
10467,888,cifar10,69.18,30.52
10618,777,cifar10,88.59,23.54
10344,999,cifar10,89.59,81.53
10716,888,cifar10,80.68,14.58
11552,888,cifar10,86.35,80.43
10820,777,cifar10,92.00,91.35
11373,777,cifar10,86.84,86.64
10743,888,cifar10,80.09,58.08
11211,888,cifar10,90.31,85.60
11329,999,cifar10,91.25,33.64
10926,777,cifar10,89.57,87.36
11395,777,cifar10,93.13,92.99
10854,777,cifar10,10.00,10.00
11057,888,cifar10,89.41,84.04
10936,777,cifar10,92.46,45.82
10983,777,cifar10,90.66,89.75
11353,777,cifar10,92.61,67.96
11092,999,cifar10,89.68,88.23
10594,777,cifar10,91.95,91.73
10682,888,cifar10,88.28,84.06
10531,999,cifar10,91.66,91.22
10519,888,cifar10,86.68,44.11
11452,888,cifar10,80.66,60.36
10334,888,cifar10,92.17,92.24
11440,888,cifar10,92.16,92.08
11506,777,cifar10,93.07,92.33
10886,777,cifar10,92.52,92.40
10637,888,cifar10,93.07,93.04
10298,888,cifar10,90.41,88.90
11222,777,cifar10,92.30,92.07
10753,777,cifar10,91.68,91.32
9764,888,cifar10,89.99,87.69
