,Unnamed: 0,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,dataset,espdl_size_bytes,torch_size_bytes,accuracy_fp32,accuracy_esp,idx,seed
18191,18191,none,avg_pool_3x3,nor_conv_1x1,skip_connect,avg_pool_3x3,none,cifar10,242240,786477,86.38,86.15,9317,888
18192,18192,avg_pool_3x3,nor_conv_1x1,none,none,nor_conv_1x1,none,cifar10,296512,998325,80.3,74.05,9705,777
18193,18193,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,none,skip_connect,cifar10,727888,2730605,89.96,34.41,9176,888
18194,18194,avg_pool_3x3,nor_conv_3x3,none,skip_connect,skip_connect,nor_conv_3x3,cifar10,712336,2706165,90.44,82.61,9842,888
18195,18195,nor_conv_3x3,none,skip_connect,none,nor_conv_3x3,nor_conv_1x1,cifar10,780096,2918717,91.6,91.27,9508,777
18196,18196,nor_conv_3x3,nor_conv_3x3,none,skip_connect,nor_conv_3x3,skip_connect,cifar10,959280,3772959,93.35,93.22,10131,888
18197,18197,none,skip_connect,none,none,nor_conv_3x3,avg_pool_3x3,cifar10,452576,1629329,75.62,14.42,10371,888
18198,18198,none,nor_conv_3x3,nor_conv_1x1,none,avg_pool_3x3,nor_conv_1x1,cifar10,564176,2084725,90.73,14.04,10524,888
18199,18199,nor_conv_3x3,skip_connect,nor_conv_3x3,none,none,nor_conv_1x1,cifar10,768992,2918781,92.72,84.74,9308,888
18200,18200,nor_conv_3x3,skip_connect,nor_conv_1x1,nor_conv_3x3,nor_conv_1x1,skip_connect,cifar10,736144,3137577,93.19,93.12,10315,888
18201,18201,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,cifar10,685696,2749575,90.37,87.71,10513,888
18202,18202,nor_conv_1x1,skip_connect,skip_connect,skip_connect,none,skip_connect,cifar10,224432,730493,87.97,87.08,9682,888
18203,18203,none,none,skip_connect,none,nor_conv_1x1,none,cifar10,201056,751419,10.0,10.0,10448,777
18204,18204,nor_conv_3x3,none,none,none,avg_pool_3x3,avg_pool_3x3,cifar10,468112,1653293,87.97,87.35,9911,777
18205,18205,none,none,skip_connect,none,nor_conv_3x3,nor_conv_1x1,cifar10,479216,1834877,10.0,10.0,9011,888
18206,18206,avg_pool_3x3,none,none,none,none,nor_conv_3x3,cifar10,432800,1636305,10.0,10.0,10120,777
18207,18207,nor_conv_3x3,nor_conv_3x3,nor_conv_1x1,skip_connect,skip_connect,nor_conv_3x3,cifar10,988224,3997737,93.92,93.84,10337,777
18208,18208,nor_conv_1x1,none,nor_conv_1x1,avg_pool_3x3,nor_conv_1x1,none,cifar10,313664,1222709,89.45,81.15,8990,777
18209,18209,nor_conv_1x1,nor_conv_1x1,nor_conv_1x1,avg_pool_3x3,skip_connect,avg_pool_3x3,cifar10,301392,1233958,89.66,85.43,9769,999
18210,18210,avg_pool_3x3,none,nor_conv_1x1,nor_conv_3x3,none,nor_conv_3x3,cifar10,789600,2943221,92.18,92.0,9364,777
18211,18211,skip_connect,skip_connect,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,none,cifar10,237664,779885,88.69,86.72,9739,888
18212,18212,skip_connect,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3,nor_conv_3x3,cifar10,470720,1889415,90.28,87.83,10050,999
18213,18213,none,none,nor_conv_1x1,skip_connect,avg_pool_3x3,none,cifar10,225616,768693,86.35,86.01,9210,888
18214,18214,avg_pool_3x3,skip_connect,skip_connect,skip_connect,skip_connect,none,cifar10,145632,525372,80.28,56.26,10437,777
18215,18215,none,nor_conv_1x1,nor_conv_1x1,nor_conv_1x1,avg_pool_3x3,nor_conv_1x1,cifar10,368464,1446901,89.57,48.21,9750,999
18216,18216,skip_connect,none,nor_conv_1x1,nor_conv_1x1,none,skip_connect,cifar10,258304,969037,88.88,88.59,10502,999
18217,18217,none,skip_connect,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,cifar10,968608,3796661,92.32,43.88,9793,888
18218,18218,nor_conv_1x1,none,nor_conv_3x3,none,avg_pool_3x3,avg_pool_3x3,cifar10,528128,1877229,88.79,86.84,9693,888
18219,18219,nor_conv_3x3,avg_pool_3x3,none,nor_conv_1x1,nor_conv_3x3,skip_connect,cifar10,759008,2937525,92.62,92.09,10326,777
18220,18220,skip_connect,nor_conv_1x1,none,nor_conv_1x1,avg_pool_3x3,nor_conv_1x1,cifar10,310160,1216053,90.23,87.38,9257,777
18221,18221,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,skip_connect,avg_pool_3x3,cifar10,947840,3816067,90.98,86.5,10381,888
18222,18222,nor_conv_3x3,skip_connect,avg_pool_3x3,nor_conv_1x1,skip_connect,none,cifar10,478480,1845941,92.43,92.31,9758,888
18223,18223,nor_conv_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_3x3,none,avg_pool_3x3,cifar10,770208,2962827,91.72,88.51,10019,777
18224,18224,avg_pool_3x3,skip_connect,nor_conv_3x3,nor_conv_1x1,avg_pool_3x3,nor_conv_3x3,cifar10,736816,2955843,91.74,89.37,10348,777
18225,18225,avg_pool_3x3,none,skip_connect,skip_connect,nor_conv_3x3,skip_connect,cifar10,442096,1615605,86.57,84.66,9454,777
18226,18226,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,avg_pool_3x3,skip_connect,skip_connect,cifar10,472048,1864625,87.75,68.78,10610,777
18227,18227,avg_pool_3x3,nor_conv_3x3,none,nor_conv_1x1,none,avg_pool_3x3,cifar10,531968,1877357,91.78,91.23,9340,888
